type	latitude	longitude	altitude (m)
T	-31.748346323	-65.055342410	969.1	
T	-31.748343766	-65.054741197	966.4		
T	-31.748350031	-65.054498806	965.8		
T	-31.748285020	-65.054173233	965.7		
T	-31.748150658	-65.053683214	961.0		
T	-31.747944661	-65.053109274	954.7		
T	-31.747805213	-65.052693752	951.3		
T	-31.747734842	-65.052271234	948.5		
T	-31.747592986	-65.051765307	945.7		
T	-31.747522471	-65.051427708	945.1		
T	-31.747451935	-65.051090011	945.0		
T	-31.747381811	-65.050667620	944.5		
T	-31.747239331	-65.050245576	944.1		
T	-31.747164945	-65.049814964	943.0		
T	-31.747020516	-65.049389182	940.8		
T	-31.746948632	-65.049048735	939.8		
T	-31.746877924	-65.048710405	940.4		
T	-31.746807759	-65.048373046	940.8		
T	-31.746737568	-65.048035553	940.3		
T	-31.746595548	-65.047613950	939.2		
T	-31.746451508	-65.047359689	938.8		
T	-31.746305725	-65.047016653	938.4		
T	-31.746088619	-65.046590807	937.7		
T	-31.745944644	-65.046165551	935.3		
T	-31.745728043	-65.045740422	933.1		
T	-31.745583746	-65.045400151	932.8		
T	-31.745439420	-65.045059810	932.2		
T	-31.745296310	-65.044721449	931.4		
T	-31.745080203	-65.044382692	929.9		
T	-31.744935609	-65.044041942	929.0		
T	-31.744718377	-65.043786853	928.4		
T	-31.744500931	-65.043445900	927.8		
T	-31.744355539	-65.043018049	927.1		
T	-31.744210396	-65.042761916	926.3		
T	-31.743993182	-65.042335659	925.4		
T	-31.743849585	-65.041996333	925.4		
T	-31.743705553	-65.041656315	926.1		
T	-31.743487916	-65.041229307	925.1		
T	-31.743415309	-65.040972944	924.0		
T	-31.743270311	-65.040545656	921.4		
T	-31.743198652	-65.040290133	920.0		
T	-31.743055482	-65.039865871	917.9		
T	-31.742912541	-65.039441767	916.6		
T	-31.742841074	-65.039186918	915.9		
T	-31.742622611	-65.038758520	915.4		
T	-31.742478842	-65.038332919	914.9		
T	-31.742262854	-65.037908252	913.0		
T	-31.742117869	-65.037566416	911.4		
T	-31.741972750	-65.037224340	910.1		
T	-31.741900418	-65.036796265	908.9		
T	-31.741755331	-65.036368383	907.4		
T	-31.741537535	-65.035854966	905.6		
T	-31.741465074	-65.035512387	905.0		
T	-31.741247193	-65.034998760	904.0		
T	-31.741103959	-65.034315579	905.1		
T	-31.740959146	-65.033973582	904.4		
T	-31.740814919	-65.033374482	898.5		
T	-31.740743077	-65.032860454	897.1		
T	-31.740598011	-65.032260171	896.6		
T	-31.740453154	-65.031574028	897.0		
T	-31.740308239	-65.030887625	895.0		
T	-31.740235896	-65.030544426	895.1		
T	-31.740237717	-65.030201920	894.7		
T	-31.740091764	-65.029772186	893.7		
T	-31.739946076	-65.029084665	889.1		
T	-31.739801560	-65.028397485	888.6		
T	-31.739656484	-65.027709756	887.2		
T	-31.739510789	-65.027107825	886.5		
T	-31.739363970	-65.026419600	887.3		
T	-31.739216956	-65.025903516	888.9		
T	-31.739144079	-65.025559495	888.2		
T	-31.739070972	-65.024957507	886.6		
T	-31.738997739	-65.024527552	887.3		
T	-31.738851509	-65.024011552	887.6		
T	-31.738705707	-65.023581270	886.6		
T	-31.738560267	-65.023064575	885.0		
T	-31.738414950	-65.022805540	883.7		
T	-31.738269424	-65.022460550	882.4		
T	-31.738050749	-65.022029207	879.3		
T	-31.737904439	-65.021598664	877.0		
T	-31.737758156	-65.021168074	876.2		
T	-31.737538793	-65.020737166	874.8		
T	-31.737392480	-65.020306512	876.5		
T	-31.737246187	-65.019961834	877.5		
T	-31.737026987	-65.019443963	875.5		
T	-31.736807606	-65.018926322	875.3		
T	-31.736661370	-65.018494793	875.8		
T	-31.736588289	-65.018063520	876.1		
T	-31.736368900	-65.017544807	875.1		
T	-31.736149448	-65.016939647	872.9		
T	-31.736002899	-65.016508785	872.5		
T	-31.735856300	-65.016078334	873.2		
T	-31.735782993	-65.015734037	874.0		
T	-31.735709696	-65.015389765	874.0		
T	-31.735563118	-65.014959418	874.0		
T	-31.735416587	-65.014615165	874.2		
T	-31.735343297	-65.014185152	874.7		
T	-31.735196750	-65.013669166	874.4		
T	-31.734976960	-65.013153204	875.5		
T	-31.734830332	-65.012727997	879.5		
T	-31.734610750	-65.012303174	882.7		
T	-31.734464421	-65.011876913	884.7		
T	-31.734318050	-65.011707403	886.4		
T	-31.734025662	-65.011108344	887.3		
T	-31.733806244	-65.010679829	888.3		
T	-31.733586973	-65.010165960	890.6		
T	-31.733440942	-65.009909593	892.4		
T	-31.733294859	-65.009310412	895.5		
T	-31.733075089	-65.008531828	892.3		
T	-31.733002047	-65.008016839	892.3		
T	-31.732856177	-65.007676855	893.6		
T	-31.732710411	-65.007251448	894.5		
T	-31.732491936	-65.006829260	896.6		
T	-31.732419378	-65.006489851	897.3		
T	-31.732346511	-65.006233759	897.8		
T	-31.732273765	-65.006064164	898.5		
T	-31.731983436	-65.004705055	904.8		
T	-31.731838075	-65.004366604	908.0		
T	-31.731765367	-65.004282803	909.3		
