type	latitude	longitude	altitude (m)	name	desc
T	-31.632521557	-65.051360436	977.9	PtoPto Panaholma	
T	-31.632524448	-65.050126417	984.3		
T	-31.632525447	-65.049083148	990.2		
T	-31.632525482	-65.048239046	993.3		
T	-31.632348112	-65.047396195	996.3		
T	-31.632170772	-65.046553569	997.1		
T	-31.632170929	-65.045711784	991.3		
T	-31.631993677	-65.044659160	992.2		
T	-31.631639030	-65.043816472	994.0		
T	-31.631461834	-65.042974647	995.9		
T	-31.631462030	-65.042133667	996.7		
T	-31.631284893	-65.041292221	999.8		
T	-31.631107726	-65.040661099	1002.4		
T	-31.630930648	-65.039610075	1004.4		
T	-31.630576514	-65.038558045	1008.4		
T	-31.630576618	-65.037717719	1006.2		
T	-31.630399590	-65.036876417	1007.5		
T	-31.630222629	-65.035825077	1011.8		
T	-31.630222838	-65.034773937	1014.3		
T	-31.630046003	-65.033513118	1018.3		
T	-31.629869069	-65.032882973	1020.2		
T	-31.629692275	-65.031832891	1023.1		
T	-31.629515469	-65.030993120	1022.4		
T	-31.629338704	-65.030153557	1025.9		
T	-31.629161766	-65.029310946	1029.3		
T	-31.628984780	-65.028467052	1032.8		
T	-31.628807467	-65.027616650	1038.3		
T	-31.628630056	-65.026763573	1043.7		
T	-31.628452045	-65.025686620	1052.8		
T	-31.628274428	-65.024825878	1060.2		
T	-31.628273457	-65.023965132	1072.6		
T	-31.628096150	-65.023105894	1081.6		
T	-31.628095112	-65.022244239	1100.3		
T	-31.628094069	-65.021383701	1134.6		
T	-31.627916991	-65.020525218	1161.9		
T	-31.627740988	-65.019681276	1140.1		
T	-31.627569267	-65.018930024	1107.3		
T	-31.627395475	-65.017927131	1096.5		
T	-31.627041637	-65.016644342	1109.5		
T	-31.626864931	-65.015783569	1117.2		
T	-31.626688400	-65.014921624	1119.1		
T	-31.626512067	-65.013846410	1132.3		
T	-31.626511826	-65.012988871	1149.6		
T	-31.626160438	-65.011915206	1191.4		
T	-31.625985643	-65.010886714	1190.6		
T	-31.625987547	-65.009915024	1151.7		
T	-31.625989356	-65.008934192	1117.2		
T	-31.625814797	-65.007946014	1089.0		
T	-31.625816332	-65.006959164	1071.3		
T	-31.625641149	-65.005961417	1058.9		
T	-31.625642068	-65.004936467	1058.1		
T	-31.625643170	-65.003705577	1061.5		
T	-31.625467345	-65.002470238	1057.8		
T	-31.625468180	-65.001442928	1049.6		
T	-31.625292018	-65.000411693	1047.7		
T	-31.625115600	-64.999577258	1044.7		
T	-31.624762675	-64.998323849	1036.9		
T	-31.624586427	-64.997488269	1032.4		
T	-31.624410216	-64.996241840	1025.7		
T	-31.624233577	-64.995214204	1035.0		
T	-31.624058050	-64.994162250	1050.0		
T	-31.623882396	-64.993319123	1056.8		
T	-31.623706950	-64.992476869	1064.2		
T	-31.623531323	-64.991845834	1070.5		
T	-31.623356145	-64.991005229	1076.8		
T	-31.623181517	-64.989955798	1088.4		
T	-31.623007116	-64.988907665	1099.6		
T	-31.622832496	-64.988069953	1107.8		
T	-31.622658643	-64.986816389	1129.1		
T	-31.622483974	-64.985777369	1135.5		
T	-31.622309043	-64.984946718	1129.2		
T	-31.622134507	-64.983908780	1139.2		
T	-31.621960078	-64.982871683	1148.0		
T	-31.621437520	-64.978112870	1179.6		
T	-31.621440952	-64.977074878	1194.6		
T	-31.621444360	-64.976038449	1196.2		
T	-31.621272006	-64.975209798	1210.4		
T	-31.621274825	-64.974382857	1229.6		
T	-31.621105159	-64.972525966	1220.5		
T	-31.621106120	-64.971497901	1221.7		
T	-31.620932829	-64.970674770	1226.8		
T	-31.620760246	-64.969852272	1237.1		
T	-31.620761837	-64.969235955	1245.0		
T	-31.620590004	-64.968209537	1269.6		
T	-31.620417761	-64.967389245	1280.9		
T	-31.620245668	-64.966569698	1283.0		
T	-31.620250603	-64.965752838	1291.9		
T	-31.620083160	-64.964939137	1311.6		
T	-31.619916153	-64.964127541	1342.4		
T	-31.619576149	-64.963318416	1375.8		
T	-31.619236782	-64.962511138	1397.9		
T	-31.619241397	-64.961701408	1412.0		
T	-31.619075355	-64.960896531	1434.1		
T	-31.619081187	-64.960091138	1443.6		
T	-31.618912728	-64.959284954	1456.2		
T	-31.618744473	-64.958479871	1466.3		
